LaptopID,Company,Type,Inches,ScreenAndRes,Screen,Resolution,CpuMan,CPU/Withclock,CPU,Ram,Ram(GB),Storage(Primary),Storage(Secondary),Storage(P(GB)),Storage(S(GB)),Storage(GB),Gpu,OS,Matched_CPU,Matched_GPU
1199,MSI,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
1202,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
1074,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,2TB HDD,256,"2,000","2,256",Nvidia GeForce GTX 1050 Ti,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1050 Ti Max-Q
492,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,8GB,8,128GB SSD,2TB HDD,128,"2,000","2,128",AMD Radeon 530,Windows 10,Core i7-8550U,AMD Radeon 530 Mobile
513,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,8GB,8,128GB SSD,2TB HDD,128,"2,000","2,128",AMD Radeon 530,Windows 10,Core i7-8550U,AMD Radeon 530 Mobile
734,HP,Notebook,14,1366x768,Regular,1366x768,Intel Pentium Quad Core N3710 1.6GHz,Pentium Quad Core N3710 1.6GHz,Pentium Quad Core N3710 ,8GB,8,2TB HDD,,2000,0,"2,000",Intel HD Graphics 405,Windows 10,Pentium 997,Intel HD Graphics 405
769,HP,Notebook,15.6,1366x768,Regular,1366x768,Intel Pentium Quad Core N3710 1.6GHz,Pentium Quad Core N3710 1.6GHz,Pentium Quad Core N3710 ,8GB,8,2TB HDD,,2000,0,"2,000",Intel HD Graphics 405,Windows 10,Pentium 997,Intel HD Graphics 405
1095,Lenovo,Notebook,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,8GB,8,2TB HDD,,2000,0,"2,000",Nvidia GeForce MX150,No OS,Core i7-8550U,NVIDIA GeForce MX150 GP107
410,Dell,Gaming,17.3,4K Ultra HD 3840x2160,4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,32GB,32,1TB SSD,1TB HDD,1000,"1,000","2,000",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
396,Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,32GB,32,1TB SSD,1TB HDD,1000,"1,000","2,000",Nvidia GeForce GTX 1070M,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070
181,Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Full HD / Touchscreen ,1920x1080,Intel Core i7 7500U 2.7GHz,Core i7 7500U 2.7GHz,Core i7 7500U ,12GB,12,2TB HDD,,2000,0,"2,000",Nvidia GeForce 940MX,Windows 10,Core i7-4500U,NVIDIA GeForce 940MX
332,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7500U 2.7GHz,Core i7 7500U 2.7GHz,Core i7 7500U ,16GB,16,2TB HDD,,2000,0,"2,000",AMD Radeon R7 M445,Windows 10,Core i7-4500U,AMD Radeon R7 M445
612,HP,Notebook,15.6,1366x768,Regular,1366x768,Intel Core i7 7500U 2.7GHz,Core i7 7500U 2.7GHz,Core i7 7500U ,8GB,8,2TB HDD,,2000,0,"2,000",Intel HD Graphics 620,Windows 10,Core i7-4500U,Intel HD Graphics 620
465,Dell,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i5 8250U 1.6GHz,Core i5 8250U 1.6GHz,Core i5 8250U ,8GB,8,2TB HDD,,2000,0,"2,000",AMD Radeon 530,Windows 10,Core i5-8250U,AMD Radeon 530 Mobile
975,Lenovo,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i5 7200U 2.5GHz,Core i5 7200U 2.5GHz,Core i5 7200U ,4GB,4,1TB HDD,1TB HDD,1000,"1,000","2,000",Intel HD Graphics 620,Windows 10,Core i5-4200U,Intel HD Graphics 620
803,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i5 7200U 2.5GHz,Core i5 7200U 2.5GHz,Core i5 7200U ,6GB,6,2TB HDD,,2000,0,"2,000",AMD Radeon 520,Windows 10,Core i5-4200U,AMD Radeon 520 Mobile
1128,Lenovo,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i5 7200U 2.5GHz,Core i5 7200U 2.5GHz,Core i5 7200U ,8GB,8,2TB HDD,,2000,0,"2,000",Intel HD Graphics 620,No OS,Core i5-4200U,Intel HD Graphics 620
1084,Lenovo,Notebook,15.6,1366x768,Regular,1366x768,Intel Core i5 7200U 2.5GHz,Core i5 7200U 2.5GHz,Core i5 7200U ,8GB,8,2TB HDD,,2000,0,"2,000",Nvidia GeForce 940MX,No OS,Core i5-4200U,NVIDIA GeForce 940MX
490,Dell,Notebook,15.6,Touchscreen 1366x768,Touchscreen, 1366x768,Intel Core i5 7200U 2.5GHz,Core i5 7200U 2.5GHz,Core i5 7200U ,8GB,8,2TB HDD,,2000,0,"2,000",Intel HD Graphics 620,Windows 10,Core i5-4200U,Intel HD Graphics 620
1022,Lenovo,Notebook,15.6,1366x768,Regular,1366x768,Intel Core i3 6006U 2GHz,Core i3 6006U 2GHz,Core i3 6006,8GB,8,2TB HDD,,2000,0,"2,000",Nvidia GeForce 920MX,No OS,Core i3-560,NVIDIA GeForce 920MX
1076,Lenovo,Notebook,15.6,Full HD 1920x1080,Full HD ,1920x1080,AMD A12-Series 9720P 3.6GHz,A12-Series 9720P 3.6GHz,A12-Series 9720P ,12GB,12,2TB HDD,,2000,0,"2,000",AMD Radeon 530,Windows 10,,AMD Radeon 530 Mobile
703,HP,Notebook,15.6,1366x768,Regular,1366x768,AMD A12-Series 9700P 2.5GHz,A12-Series 9700P 2.5GHz,A12-Series 9700P ,8GB,8,2TB HDD,,2000,0,"2,000",AMD Radeon R7 Graphics,Windows 10,PRO A12-9800,AMD Radeon R7 Mobile Graphics
715,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,AMD A10-Series 9620P 2.5GHz,A10-Series 9620P 2.5GHz,A10-Series 9620P ,6GB,6,2TB HDD,,2000,0,"2,000",AMD Radeon 530,Windows 10,,AMD Radeon 530 Mobile
717,HP,Notebook,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,AMD A10-Series 9600P 2.4GHz,A10-Series 9600P 2.4GHz,A10-Series 9600P ,6GB,6,2TB HDD,,2000,0,"2,000",AMD Radeon R7 M440,Windows 10,PRO A10-9700,AMD Radeon R7 M440
920,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,AMD FX 8800P 2.1GHz,FX 8800P 2.1GHz,FX 8800P ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",AMD Radeon R9 M385,Windows 10,FX-8300,AMD Radeon R9 M385
1188,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7820HK 2.9GHz,Core i7 7820HK 2.9GHz,Core i7 7820HK ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10,Core i7-4820K,NVIDIA GeForce GTX 1070 GDDR5X
249,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7820HK 2.9GHz,Core i7 7820HK 2.9GHz,Core i7 7820HK ,32GB,32,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1080,Windows 10,Core i7-4820K,NVIDIA GeForce GTX 1080 11Gbps
355,Dell,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,IPS Panel 4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
527,Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,IPS Panel 4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1060,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1060 6 GB GDDR5X
1175,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
1195,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
1109,Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1060,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1060 6 GB GDDR5X
421,Dell,Gaming,17.3,IPS Panel 4K Ultra HD 3840x2160,IPS Panel 4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,32GB,32,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
382,Dell,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,32GB,32,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
1196,MSI,Gaming,18.4,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 6920HQ 2.9GHz,Core i7 6920HQ 2.9GHz,Core i7 6920HQ ,32GB,32,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GTX 980 SLI,Windows 10,Core i7-920,NVIDIA GeForce GTX 980 Mobile
359,Dell,Gaming,17.3,2560x1440,Regular,2560x1440,Intel Core i7 6820HK 2.7GHz,Core i7 6820HK 2.7GHz,Core i7 6820HK ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1080,Windows 10,Core i7-6850K,NVIDIA GeForce GTX 1080 11Gbps
900,Lenovo,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 6820HK 2.7GHz,Core i7 6820HK 2.7GHz,Core i7 6820HK ,32GB,32,512GB SSD,1.0TB Hybrid,512,"1,000","1,512",Nvidia GeForce GTX 980M,Windows 10,Core i7-6850K,NVIDIA GeForce GTX 980M
171,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 6700HQ 2.6GHz,Core i7 6700HQ 2.6GHz,Core i7 6700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 1060,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1060 6 GB GDDR5X
143,Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 6700HQ 2.6GHz,Core i7 6700HQ 2.6GHz,Core i7 6700HQ ,16GB,16,512GB SSD,1TB HDD,512,"1,000","1,512",Nvidia GeForce GTX 980M,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 980M
526,Dell,Workstation,15.6,4K Ultra HD 3840x2160,4K Ultra HD ,3840x2160,Intel Xeon E3-1505M V6 3GHz,Xeon E3-1505M V6 3GHz,Xeon E3-1505M V6,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia Quadro M1200,Windows 10,Xeon E3-1285 v6,NVIDIA Quadro M1200 Mobile
242,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,AMD Ryzen 1700 3GHz,Ryzen 1700 3GHz,Ryzen 170,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",AMD Radeon RX 580,Windows 10,Ryzen 9 7900,AMD Radeon RX 580 2048SP
226,Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,AMD Ryzen 1700 3GHz,Ryzen 1700 3GHz,Ryzen 170,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",AMD Radeon RX 580,Windows 10,Ryzen 9 7900,AMD Radeon RX 580 2048SP
276,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,AMD Ryzen 1700 3GHz,Ryzen 1700 3GHz,Ryzen 170,8GB,8,256GB SSD,1TB HDD,256,"1,000","1,256",AMD Radeon RX 580,Windows 10,Ryzen 9 7900,AMD Radeon RX 580 2048SP
216,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,AMD Ryzen 1600 3.2GHz,Ryzen 1600 3.2GHz,Ryzen 1600 ,8GB,8,256GB SSD,1TB HDD,256,"1,000","1,256",AMD Radeon RX 580,Windows 10,Ryzen 5 PRO 1600,AMD Radeon RX 580 2048SP
263,Asus,Ultrabook,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce MX150,Windows 10,Core i7-8550U,NVIDIA GeForce MX150 GP107
543,Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,IPS Panel Full HD ,1920x1080,Intel Core i7 8550U 1.8GHz,Core i7 8550U 1.8GHz,Core i7 8550U ,8GB,8,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce 940MX,Windows 10,Core i7-8550U,NVIDIA GeForce 940MX
476,Dell,Gaming,27.3,IPS Panel 2560x1440,IPS Panel ,2560x1440,Intel Core i7 7820HK 2.9GHz,Core i7 7820HK 2.9GHz,Core i7 7820HK ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10,Core i7-4820K,NVIDIA GeForce GTX 1070 GDDR5X
418,Dell,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7820HK 2.9GHz,Core i7 7820HK 2.9GHz,Core i7 7820HK ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10,Core i7-4820K,NVIDIA GeForce GTX 1070 GDDR5X
761,HP,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,12GB,12,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
402,Dell,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,IPS Panel 4K Ultra HD ,3840x2160,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
139,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1060 6 GB GDDR5X
141,Asus,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
156,Asus,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1050 Ti Max-Q
158,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1050 Ti Max-Q
160,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1060 6 GB GDDR5X
173,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
204,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX1050 Ti,Windows 10,Core i7-4700HQ,NVIDIA GeForce MX150
220,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1050 Mobile 3 GB
221,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1050 Ti Max-Q
237,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
245,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 980M,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 980M
254,Asus,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1050 Mobile 3 GB
383,Dell,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
427,Dell,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1050 Ti Max-Q
1152,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1060 6 GB GDDR5X
1156,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1060 6 GB GDDR5X
1160,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1050 Ti Max-Q
1165,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1070,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1070 GDDR5X
1172,MSI,Gaming,17.3,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1050 Ti,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1050 Ti Max-Q
1178,MSI,Gaming,15.6,Full HD 1920x1080,Full HD ,1920x1080,Intel Core i7 7700HQ 2.8GHz,Core i7 7700HQ 2.8GHz,Core i7 7700HQ ,16GB,16,256GB SSD,1TB HDD,256,"1,000","1,256",Nvidia GeForce GTX 1060,Windows 10,Core i7-4700HQ,NVIDIA GeForce GTX 1060 6 GB GDDR5X
